code_muni,municipio,area,densidade
3548807,São Caetano do Sul,15.331,10805.23
3548906,São Carlos,1136.907,224.17
3549003,São Francisco,75.579,34.43
3549102,São João da Boa Vista,516.399,179.22
3549201,São João das Duas Pontes,129.462,19.93
3549250,São João de Iracema,178.396,10.35
3549300,São João do Pau d'Alho,117.665,19.05
3549409,São Joaquim da Barra,410.863,118.19
3549508,São José da Bela Vista,276.952,27.54
3549607,São José do Barreiro,570.685,6.75
3549706,São José do Rio Pardo,419.684,124.39
3549805,São José do Rio Preto,431.944,1112.17
3549904,São José dos Campos,1099.409,634.03
3549953,São Lourenço da Serra,186.456,86.17
3550001,São Luiz do Paraitinga,617.315,16.75
3550100,São Manuel,650.734,57.3
3550209,São Miguel Arcanjo,930.339,34.44
3550308,São Paulo,1521.202,7528.26
3550407,São Pedro,611.278,62.58
3550506,São Pedro do Turvo,731.221,9.87
3550605,São Roque,306.908,258.98
3550704,São Sebastião,402.395,202.77
3550803,São Sebastião da Grama,252.41,41.37
3550902,São Simão,617.252,21.78
3551009,São Vicente,148.151,2226.86
3551108,Sarapuí,352.592,29.41
3551207,Sarutaiá,141.608,26.16
3551306,Sebastianópolis do Sul,167.848,18.65
3551405,Serra Azul,283.144,45.02
3551504,Serrana,126.046,348.36
3551603,Serra Negra,203.734,146.73
3551702,Sertãozinho,403.089,314.79
3551801,Sete Barras,1062.699,11.98
3551900,Severínia,140.46,103.77
3552007,Silveiras,414.782,14.91
3552106,Socorro,449.029,89.35
3552205,Sorocaba,449.872,1608.64
3552304,Sud Mennucci,594.744,12.37
3552403,Sumaré,153.465,1821.56
3552502,Suzano,206.236,1490.67
3552551,Suzanápolis,330.587,10.31
3552601,Tabapuã,345.792,32.75
3552700,Tabatinga,368.604,40.07
3552809,Taboão da Serra,20.388,13416.81
3552908,Taciba,607.267,10.31
3553005,Taguaí,145.332,87.17
3553104,Taiaçu,107.059,53.03
3553203,Taiúva,132.459,49.43
3553302,Tambaú,561.788,38.15
3553401,Tanabi,747.218,33.81
