id_municipio,municipio,ano,populacao,densidade,area
3554706,Torrinha,2014,9331.666666666666,29.89,312.2223333333333
3554706,Torrinha,2015,9332.083333333334,29.855,312.60291666666666
3554706,Torrinha,2016,9332.5,29.82,312.9835
3554706,Torrinha,2017,9332.916666666666,29.785,313.3640833333333
3554706,Torrinha,2018,9333.333333333334,29.75,313.74466666666666
3554706,Torrinha,2019,9333.75,29.715,314.12525
3554706,Torrinha,2020,9334.166666666666,29.68,314.5058333333333
3554706,Torrinha,2021,9334.583333333334,29.645,314.88641666666666
3554706,Torrinha,2022,9335.0,29.61,315.267
3554755,Trabiju,2010,1544.0,24.35,63.4
3554755,Trabiju,2011,1555.5,24.530833333333334,63.40175
3554755,Trabiju,2012,1567.0,24.711666666666666,63.4035
3554755,Trabiju,2013,1578.5,24.892500000000002,63.405249999999995
3554755,Trabiju,2014,1590.0,25.073333333333334,63.407
3554755,Trabiju,2015,1601.5,25.254166666666666,63.40875
3554755,Trabiju,2016,1613.0,25.435000000000002,63.4105
3554755,Trabiju,2017,1624.5,25.615833333333335,63.41225
3554755,Trabiju,2018,1636.0,25.796666666666667,63.414
3554755,Trabiju,2019,1647.5,25.9775,63.41575
3554755,Trabiju,2020,1659.0,26.15833333333333,63.4175
3554755,Trabiju,2021,1670.5,26.339166666666667,63.41925
3554755,Trabiju,2022,1682.0,26.52,63.421
3554805,Tremembé,2010,40984.0,214.17,191.4
3554805,Tremembé,2011,41833.083333333336,218.63833333333332,191.3745
3554805,Tremembé,2012,42682.166666666664,223.10666666666665,191.349
3554805,Tremembé,2013,43531.25,227.575,191.3235
3554805,Tremembé,2014,44380.333333333336,232.04333333333332,191.298
3554805,Tremembé,2015,45229.416666666664,236.51166666666666,191.2725
3554805,Tremembé,2016,46078.5,240.98000000000002,191.247
3554805,Tremembé,2017,46927.583333333336,245.44833333333335,191.2215
3554805,Tremembé,2018,47776.666666666664,249.91666666666669,191.196
3554805,Tremembé,2019,48625.75,254.38500000000002,191.1705
